Date,Open,High,Low,Close,Adj Close,Volume
2015-06-02,53035.000000,54236.000000,53035.000000,54236.000000,54236.000000,3476000
2015-06-03,54254.000000,54254.000000,53462.000000,53523.000000,53523.000000,3317500
2015-06-05,53518.000000,53518.000000,52808.000000,52973.000000,52973.000000,2729100
2015-06-08,52975.000000,53325.000000,52810.000000,52810.000000,52810.000000,2582500
2015-06-09,52810.000000,53292.000000,52688.000000,52816.000000,52816.000000,3678000
2015-06-10,52817.000000,54102.000000,52817.000000,53876.000000,53876.000000,3587500
2015-06-11,53876.000000,54271.000000,53444.000000,53689.000000,53689.000000,3093500
2015-06-12,53689.000000,53689.000000,53033.000000,53348.000000,53348.000000,2379500
2015-06-15,53338.000000,53338.000000,52548.000000,53138.000000,53138.000000,2607700
2015-06-16,53144.000000,53969.000000,53107.000000,53702.000000,53702.000000,3280300
2015-06-17,53698.000000,53755.000000,52965.000000,53249.000000,53249.000000,2993200
2015-06-18,53251.000000,54352.000000,53214.000000,54239.000000,54239.000000,2665000
2015-06-19,54236.000000,54236.000000,53479.000000,53749.000000,53749.000000,2948200
2015-06-22,53750.000000,54342.000000,53655.000000,53864.000000,53864.000000,2354400
2015-06-23,53865.000000,54361.000000,53772.000000,53772.000000,53772.000000,2625300
2015-06-24,53772.000000,54236.000000,53628.000000,53843.000000,53843.000000,2731100
2015-06-25,53840.000000,53840.000000,52879.000000,53176.000000,53176.000000,3234900
2015-06-26,53181.000000,54076.000000,53151.000000,54017.000000,54017.000000,2705400
2015-06-29,54013.000000,54013.000000,52647.000000,53014.000000,53014.000000,2550600
2015-06-30,53014.000000,53345.000000,52813.000000,53081.000000,53081.000000,3021100
2015-07-01,53081.000000,53456.000000,52603.000000,52758.000000,52758.000000,2714000
2015-07-02,52758.000000,53357.000000,52758.000000,53106.000000,53106.000000,2998100
2015-07-03,53106.000000,53106.000000,52370.000000,52519.000000,52519.000000,1498600
2015-07-06,52511.000000,52679.000000,51683.000000,52149.000000,52149.000000,2573500
2015-07-07,52149.000000,52388.000000,51130.000000,52344.000000,52344.000000,3538900
2015-07-08,52343.000000,52468.000000,51574.000000,51782.000000,51782.000000,2880300
2015-07-10,51782.000000,52786.000000,51782.000000,52591.000000,52591.000000,2678700
2015-07-13,52591.000000,53164.000000,52591.000000,53119.000000,53119.000000,2606900
2015-07-14,53119.000000,53416.000000,52653.000000,53239.000000,53239.000000,2740900
2015-07-15,53239.000000,53334.000000,52790.000000,52902.000000,52902.000000,2533600
2015-07-16,52902.000000,53417.000000,52714.000000,53070.000000,53070.000000,2075700
2015-07-17,53070.000000,53310.000000,52221.000000,52342.000000,52342.000000,2440800
2015-07-20,52341.000000,52424.000000,51525.000000,51600.000000,51600.000000,2635000
2015-07-21,51603.000000,51998.000000,51244.000000,51474.000000,51474.000000,2942600
2015-07-22,51474.000000,51474.000000,50592.000000,50916.000000,50916.000000,3123300
2015-07-23,50916.000000,51063.000000,49668.000000,49807.000000,49807.000000,4181500
2015-07-24,49804.000000,49831.000000,48624.000000,49246.000000,49246.000000,3632500
2015-07-27,49246.000000,49298.000000,48640.000000,48736.000000,48736.000000,3489100
2015-07-28,48740.000000,49871.000000,48740.000000,49602.000000,49602.000000,4137600
2015-07-29,49602.000000,50333.000000,49422.000000,50245.000000,50245.000000,3746800
2015-07-30,50245.000000,50645.000000,49612.000000,49897.000000,49897.000000,3261200
2015-07-31,49897.000000,50895.000000,49892.000000,50865.000000,50865.000000,3142200
2015-08-03,50867.000000,50867.000000,50054.000000,50138.000000,50138.000000,2613200
2015-08-04,50138.000000,50574.000000,49827.000000,50058.000000,50058.000000,2670400
2015-08-05,50067.000000,50853.000000,50067.000000,50287.000000,50287.000000,2662100
